Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,,patttern2,MAKIHI00485
700,comparison,0,1,0,0,0.2115021,,,
1200,reference,1,0,0,0,0.4542999,,,
800,comparison,0,0,0,0,0.2991791,,,
900,comparison,0,1,0,0,0.1774445,,,
1100,reference,1,1,0,0,0.2444992,,,
1000,reference,0,0,0,0,1.143921,,,
1000,reference,1,1,0,1,0.3212128,,,
900,comparison,1,1,0,1,0.2885742,,,
900,comparison,0,1,1,1,0.3108673,,,
1000,reference,1,1,1,2,0.9663239,,,
1000,reference,0,0,2,2,0.2220306,,,
900,reference,1,0,2,3,0.2886963,,,
900,comparison,0,1,2,3,0.7099609,,,
1000,comparison,0,0,2,4,0.2996979,,,
800,comparison,1,1,2,4,0.4107056,,,
900,reference,1,0,3,4,0.677475,,,
1100,reference,0,1,4,4,0.9327087,,,
800,comparison,1,1,4,5,0.4886627,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,MATOMI21025,
1600,reference,1,1,0,0,3.109552,,,
400,comparison,0,0,0,0,1.054976,,,
500,comparison,0,0,0,0,0.5662766,,,
1500,reference,1,1,0,0,0.7771492,,,
600,comparison,0,0,0,0,0.5439835,,,
1400,reference,1,0,0,0,1.832375,,,
700,comparison,0,0,0,0,0.7106018,,,
1300,reference,1,0,0,0,0.6444855,,,
1200,reference,1,1,0,0,0.4998322,,,
800,comparison,0,1,0,0,0.4331207,,,
1100,comparison,1,1,0,0,0.5001831,,,
900,comparison,0,0,1,0,0.6107941,,,
1200,reference,1,0,1,0,0.4883118,,,
1000,comparison,0,0,2,0,1.277115,,,
1100,reference,0,0,2,0,0.8441315,,,
1100,reference,1,0,2,1,1.232666,,,
1000,comparison,0,0,2,1,0.6662292,,,
1000,comparison,1,0,2,2,0.3996582,,,
1100,comparison,0,1,3,2,0.4663086,,,
1100,comparison,1,1,3,2,2.499023,,,
1200,reference,0,1,3,2,0.5663757,,,
1200,reference,1,1,3,3,0.5330505,,,
1100,reference,0,0,4,3,0.8106689,,,
1100,reference,1,1,4,3,0.4652405,,,
1000,comparison,0,0,4,3,0.610199,,,
1000,reference,1,1,4,4,1.644012,,,
900,comparison,1,1,4,4,0.4665527,,,
1100,reference,0,1,5,4,0.5883789,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,MATOMI21025,
1600,reference,1,0,0,0,0.9662247,,,
400,comparison,0,1,0,0,0.4440994,,,
1500,reference,1,1,0,0,0.499527,,,
500,comparison,0,0,0,0,0.4773788,,,
600,comparison,0,0,0,0,0.6663208,,,
1400,reference,1,1,0,0,0.5774841,,,
700,comparison,0,1,0,0,0.5112152,,,
1300,reference,1,1,0,0,0.3662796,,,
1200,reference,1,1,0,0,0.4765701,,,
800,comparison,0,0,0,0,0.3664246,,,
1100,reference,1,1,0,0,0.7661743,,,
900,comparison,0,0,0,0,0.2992859,,,
1000,reference,1,1,0,0,0.7441711,,,
1000,comparison,0,1,0,0,0.4110413,,,
1100,reference,0,0,0,0,0.5662842,,,
900,comparison,1,0,0,1,0.3777161,,,
1000,reference,1,0,1,1,0.3218994,,,
1000,comparison,0,1,2,1,0.4109802,,,
900,comparison,1,0,2,2,0.6109009,,,
1100,reference,0,0,3,2,0.3329468,,,
1000,reference,0,0,3,3,0.3776245,,,
1000,comparison,1,1,3,3,0.7550659,,,
900,comparison,0,0,3,3,0.5326843,,,
1100,reference,1,1,3,4,0.3553162,,,
1000,reference,0,0,4,4,0.377533,,,
1000,reference,1,0,4,5,0.4654541,,,
900,comparison,1,0,4,5,0.3329163,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,MAMATO10553,
400,comparison,0,1,0,0,9.107601,,,
1600,reference,1,0,0,0,2.95372,,,
1500,reference,1,1,0,0,1.388229,,,
500,comparison,0,0,0,0,1.910614,,,
1400,reference,1,0,0,0,2.676437,,,
600,comparison,0,0,0,0,2.61145,,,
1300,reference,1,1,0,0,0.8110962,,,
700,comparison,0,1,0,0,1.065308,,,
