Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,,patttern2,MAKIHI00485
1100,reference,1,0,1,1,0.3442535,,,
900,comparison,0,1,2,1,0.4219513,,,
1000,reference,0,0,2,2,0.7550964,,,
1000,reference,1,0,2,3,0.8661804,,,
900,comparison,0,0,2,3,0.377594,,,
900,comparison,1,1,2,4,0.3886414,,,
1000,reference,1,1,3,4,0.4219666,,,
1000,reference,0,1,4,4,0.3219452,,,
900,reference,1,1,4,5,0.6771698,,,
800,comparison,1,0,4,5,0.5552979,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,宮本,
1600,reference,1,1,0,0,1.954971,,,
400,comparison,0,0,0,0,1.377159,,,
500,comparison,0,1,0,0,0.7551422,,,
1500,reference,1,1,0,0,1.332573,,,
1400,reference,1,0,0,0,0.9660645,,,
600,comparison,0,0,0,0,0.9661713,,,
1300,reference,1,0,0,0,0.6217499,,,
700,comparison,0,1,0,0,0.9217834,,,
1200,reference,1,1,0,0,0.7660675,,,
800,comparison,0,1,0,0,0.4218597,,,
1100,reference,1,0,0,0,0.710907,,,
900,comparison,0,1,0,0,0.5887756,,,
1000,reference,1,0,0,0,1.399384,,,
1000,reference,0,0,0,0,0.7107086,,,
900,comparison,0,0,0,1,0.3775024,,,
900,comparison,1,0,0,2,3.698303,,,
1000,comparison,1,1,1,2,0.4774475,,,
1000,reference,0,1,1,2,0.6103821,,,
900,reference,0,0,1,3,1.121613,,,
1100,reference,1,1,1,3,1.932465,,,
1000,comparison,1,1,2,3,0.9107056,,,
800,comparison,0,0,3,3,1.465912,,,
900,comparison,0,1,3,4,0.3664246,,,
1100,reference,1,0,3,4,0.3996887,,,
1000,comparison,1,0,4,4,1.255096,,,
1000,comparison,0,0,5,4,1.110382,,,
1100,reference,0,0,5,4,0.9771423,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,宮本,
400,comparison,0,0,0,0,0.7771206,,,
1600,reference,1,1,0,0,5.497562,,,
1500,reference,1,0,0,0,0.7551422,,,
500,comparison,0,0,0,0,1.032822,,,
1400,reference,1,0,0,0,0.4551849,,,
600,comparison,0,0,0,0,0.6440659,,,
700,comparison,0,1,0,0,0.4218674,,,
1300,reference,1,1,0,0,0.2885971,,,
1200,reference,1,0,0,0,1.143913,,,
800,comparison,0,1,0,0,1.2108,,,
1100,reference,1,0,0,0,0.4885101,,,
900,comparison,0,0,0,0,0.5107727,,,
1000,comparison,0,0,0,0,0.8108063,,,
1000,reference,1,0,0,0,0.7447968,,,
900,comparison,1,0,0,0,1.355057,,,
1100,comparison,0,1,1,0,1.509918,,,
1200,reference,0,0,1,0,0.8435516,,,
1000,reference,1,1,1,1,1.143906,,,
1100,reference,0,0,2,1,0.4775391,,,
900,comparison,1,0,2,1,1.821381,,,
1000,reference,0,1,3,1,0.9437561,,,
1000,comparison,1,1,3,1,0.6218872,,,
1100,comparison,1,0,3,1,1.121674,,,
900,comparison,0,0,3,1,0.6445313,,,
1200,reference,1,1,3,2,0.5441284,,,
1000,comparison,0,1,4,2,0.3889465,,,
1100,reference,0,1,4,2,0.3443909,,,
1100,reference,1,0,4,3,0.2553101,,,
1000,reference,0,1,4,3,0.5331421,,,
1000,reference,1,0,4,3,2.487732,,,
900,comparison,1,0,4,3,0.5996094,,,
900,comparison,0,0,5,3,0.5885315,,,
1000,comparison,0,0,5,4,1.032715,,,
1100,reference,0,0,5,4,0.4107666,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,多賀,
400,comparison,0,0,0,0,3.587387,,,
1600,reference,1,0,0,0,2.342827,,,
1500,reference,1,1,0,0,1.466064,,,
500,comparison,0,0,0,0,0.766098,,,
600,comparison,0,1,0,0,0.7884674,,,
1400,reference,1,1,0,0,1.065964,,,
1300,reference,1,0,0,0,0.777359,,,
700,comparison,0,0,0,0,0.7662354,,,
800,comparison,0,1,0,0,0.6764526,,,
1200,reference,1,0,0,0,2.498932,,,
900,comparison,0,1,0,0,0.5549774,,,
1100,comparison,1,1,0,0,0.7667542,,,
1000,comparison,0,0,1,0,0.8328247,,,
1200,reference,1,1,1,0,2.243835,,,
1100,reference,0,1,2,0,0.6662292,,,
1100,reference,1,1,2,1,0.7995911,,,
1000,reference,1,1,2,1,0.6776123,,,
1000,reference,0,1,2,1,0.6218567,,,
900,comparison,1,1,2,1,0.7673035,,,
900,comparison,0,1,3,1,0.7548218,,,
1000,comparison,0,0,3,2,1.021637,,,
1000,reference,1,1,3,2,0.9877319,,,
900,comparison,1,0,4,2,1.521484,,,
1100,reference,0,1,5,2,0.7885132,,,
1000,comparison,0,0,5,3,4.487,,,
1100,reference,0,0,5,4,0.699707,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,多賀,
400,comparison,0,0,0,0,1.221724,,,
1600,reference,1,1,0,0,0.6551857,,,
1500,reference,1,0,0,0,0.7106667,,,
500,comparison,0,0,0,0,0.7999382,,,
600,comparison,0,0,0,0,0.6549683,,,
1400,reference,1,0,0,0,1.154999,,,
1300,reference,1,0,0,0,0.621788,,,
700,comparison,0,0,0,0,1.366142,,,
1200,reference,1,0,0,0,0.788559,,,
800,comparison,0,0,0,0,1.054611,,,
900,comparison,0,0,0,0,0.5552368,,,
1100,reference,1,1,0,0,0.6551056,,,
1000,comparison,0,0,0,0,0.6774445,,,
1000,reference,1,0,0,0,0.5775452,,,
900,comparison,1,1,0,0,0.7219391,,,
1100,reference,0,1,1,0,0.3999023,,,
1000,reference,1,1,1,1,0.499649,,,
1000,comparison,0,0,2,1,0.5552826,,,
1100,reference,0,1,2,2,0.6436768,,,
900,comparison,1,0,2,3,0.5332947,,,
1000,reference,0,1,3,3,0.5664673,,,
1000,comparison,1,0,3,3,0.5108948,,,
1100,reference,1,1,3,3,0.4440308,,,
900,comparison,0,1,4,3,0.6218262,,,
1000,reference,1,0,4,4,0.4996948,,,
1000,comparison,0,1,4,4,0.5104065,,,
1100,reference,0,1,4,4,1.354706,,,
900,comparison,1,0,4,5,0.4441528,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,木村,
400,comparison,0,1,0,0,0.9660816,,,
1600,reference,1,0,0,0,0.521801,,,
500,comparison,0,1,0,0,0.4551277,,,
1500,reference,1,0,0,0,0.4773445,,,
1400,reference,1,0,0,0,0.5546875,,,
600,comparison,0,1,0,0,0.5778656,,,
1300,reference,1,0,0,0,0.4551392,,,
700,comparison,0,0,0,0,0.588501,,,
800,reference,0,1,0,0,1.23259,,,
1200,comparison,1,1,0,1,1.521591,,,
700,comparison,0,1,1,1,0.5664597,,,
1300,reference,1,1,1,2,0.8884506,,,
1200,comparison,1,0,2,2,2.742218,,,
800,comparison,0,1,3,2,0.4773407,,,
900,comparison,0,0,3,2,0.9104919,,,
1300,reference,1,1,3,2,0.2998962,,,
1000,comparison,0,1,4,2,0.2773743,,,
1200,reference,1,0,4,2,0.2664948,,,
1100,reference,0,0,4,2,0.4318085,,,
1100,reference,1,0,4,3,0.377655,,,
1000,reference,1,0,4,3,0.477478,,,
1000,comparison,0,0,4,3,0.3108215,,,
1100,reference,0,1,4,4,0.3441772,,,
900,comparison,1,0,4,5,0.4546051,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,木村,
400,comparison,0,1,0,0,0.4885073,,,
1600,reference,1,1,0,0,0.265974,,,
1500,reference,1,1,0,0,0.553854,,,
500,comparison,0,0,0,0,0.7661018,,,
1400,reference,1,0,0,0,0.3311653,,,
1300,reference,1,0,0,0,0.4552994,,,
600,comparison,0,0,0,0,0.4428101,,,
1200,comparison,1,1,0,0,0.4886398,,,
700,comparison,0,1,1,0,0.3653641,,,
800,reference,0,1,1,0,0.222435,,,
1300,reference,1,1,1,1,0.3106689,,,
700,comparison,0,0,2,1,0.2442093,,,
1200,reference,1,1,2,2,0.3763351,,,
1100,reference,1,1,2,2,0.2888565,,,
800,reference,0,0,2,2,0.6762619,,,
1000,reference,1,1,2,3,0.2441864,,,
700,comparison,0,0,2,3,0.2219391,,,
900,comparison,1,0,2,4,1.443756,,,
800,comparison,0,1,3,4,0.2886047,,,
1000,reference,1,1,3,4,1.266174,,,
900,comparison,0,1,4,4,0.5224304,,,
900,comparison,1,1,4,4,0.232132,,,
1000,comparison,0,1,5,4,0.2998047,,,
1100,reference,0,0,5,4,0.3218994,,,
