pattern,First,Second,Third,Fourth,Fifth
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
