pattern,First,Second,Third,Fourth,Fifth
1-Asc,0,0,0,0,0
1-Des,0,0,0,0,0
2-Asc,0,0,0,0,0
2-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1-Asc,0,0,0,0,0
1-Des,0,0,0,0,0
2-Asc,0,0,0,0,0
2-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,500,0,0,0,0
2Big-Des,1600,1500,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,400,400,500,500,400
2Big-Des,1400,1600,1500,1600,1600
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,900,1000,900,1000,900
2Big-Des,1000,900,1000,1100,1000
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
2Big-Des,0,0,0,0,0
pattern,First,Second,Third,Fourth,Fifth
1Small-Asc,0,0,0,0,0
1Small-Des,0,0,0,0,0
2Big-Asc,0,0,0,0,0
